ccaa,fuente,url,metodo,terminos,resultados,accesible,observaciones
Castilla-La Mancha,Ayuntamiento de Mora (mora.es),https://www.mora.es/,WebFetch de la portada,EdgeMode; Malpica; centro de datos,0 noticias sobre el MoU,1,"1) Cobertura: 24 filas (17 OFICIAL, 3 OFICIAL-PRENSA, 4 OFICIAL-NP, 2 PRENSA) que documentan 11 proyectos; 7 de ellos tienen expediente oficial. Meta (Talavera) queda completamente reconstruido contra el DOCM con 11 tramites entre marzo de 2022 y agosto de 2026 (DIR, aprobacion inicial, IAE, DIA, vias pecuarias, aprobacion definitiva, NNUU en BOP, reparcelacion, expropiacion de las conexiones electricas) mas la linea de Red Electrica en la SE Calera y Chozas 220 kV que es su nudo. CM-01 se corrige (promotor Zarza Networks, S.L., CIF B16752750; fechas) y CM-02 se fecha (25-02-2026) y se enlaza con su expediente ambiental. 2) Hallazgo metodologico: el portal ambiental Nevia (nevia.castillalamancha.es) es la mejor fuente de la comunidad: expedientes estructurados con promotor, municipio, fase y los documentos del proyecto; ahi aparecen cuatro proyectos de 2025-2026 que aun no estan en el DOCM (Solaria Puertollano 40 MW/30 MW IT; Malpica 300 MW IT en Mora; Vianos 300 MW IT en Albacete, sin rastro alguno en prensa; y el primer expediente de Guadalajara Data Center). Conviene anadirlo a la seccion 11 de CLAUDE.md. 3) Euros: unico caso con presupuesto de proyecto en documento oficial es Guadalajara Data Center (presupuesto de ejecucion por contrata 223,18 M EUR para 40 MW / 26,3 MW IT, es decir unos 8,5 M EUR por MW IT, y base imponible ICIO 35,6 M EUR), que se acerca a los 10,2 M EUR/MW del coste unitario de referencia. Los demas euros son prensa. 4) MW: no sumar. Meta no declara MW (240 MVA de demanda maxima); Guadalajara y Puertollano declaran electrica e IT; Malpica y Vianos declaran solo IT (300 MW) con generacion propia a gas y sin conexion a la red, lo que los deja fuera del listado de Red Electrica; Fortinet 7 MW sin base. 5) El BOE no tiene ningun anuncio nominativo de centro de datos en CLM; la conexion de Meta se resuelve a 220 kV (competencia estatal por ser red de transporte, pero el anuncio no nombra al consumidor). 6) Vias muertas: buscador del DOCM (HTTP 500), buscador de castillalamancha.es (no indexa notas relevantes), guadalajara.es (caido), iberdrola.com y globenewswire (bloqueados), WebSearch agotado a mitad de sesion. 7) Dos entradas del DOCM (NID 2024/10065 y 2025/210) llevan por error el titulo 'aprueba definitivamente el PSI Meta Data Center Campus' pero su contenido es la ampliacion de plazo del PSI CIRN de Albacete: no usarlas. 8) Pendientes: descargar los anexos del EsIA de Axis East desde la sede de Torija (requiere navegador), localizar la autorizacion de la SE Calera y Chozas 220 kV, seguir los expedientes Nevia S478/2026/DG/00170, 00171 y 00113 hasta su anuncio de informacion publica en el DOCM, y comprobar en el listado de Red Electrica las solicitudes de acceso en los nudos Calera y Chozas 220 kV y Guadalajara 132 kV."
Castilla-La Mancha,Ayuntamiento de Talavera de la Reina (talavera.es),https://talavera.es/noticias/gregorio-subraya-que-la-subestacion-de-calera-supone-un-gran-avance-para-la-alta-velocidad-y-la-implantacion-de-meta/,curl (WebFetch fallo por certificado),subestacion Calera y Chozas; Grupo Aire,2 notas (23-07-2025 y 29-06-2022),1,"1) Cobertura: 24 filas (17 OFICIAL, 3 OFICIAL-PRENSA, 4 OFICIAL-NP, 2 PRENSA) que documentan 11 proyectos; 7 de ellos tienen expediente oficial. Meta (Talavera) queda completamente reconstruido contra el DOCM con 11 tramites entre marzo de 2022 y agosto de 2026 (DIR, aprobacion inicial, IAE, DIA, vias pecuarias, aprobacion definitiva, NNUU en BOP, reparcelacion, expropiacion de las conexiones electricas) mas la linea de Red Electrica en la SE Calera y Chozas 220 kV que es su nudo. CM-01 se corrige (promotor Zarza Networks, S.L., CIF B16752750; fechas) y CM-02 se fecha (25-02-2026) y se enlaza con su expediente ambiental. 2) Hallazgo metodologico: el portal ambiental Nevia (nevia.castillalamancha.es) es la mejor fuente de la comunidad: expedientes estructurados con promotor, municipio, fase y los documentos del proyecto; ahi aparecen cuatro proyectos de 2025-2026 que aun no estan en el DOCM (Solaria Puertollano 40 MW/30 MW IT; Malpica 300 MW IT en Mora; Vianos 300 MW IT en Albacete, sin rastro alguno en prensa; y el primer expediente de Guadalajara Data Center). Conviene anadirlo a la seccion 11 de CLAUDE.md. 3) Euros: unico caso con presupuesto de proyecto en documento oficial es Guadalajara Data Center (presupuesto de ejecucion por contrata 223,18 M EUR para 40 MW / 26,3 MW IT, es decir unos 8,5 M EUR por MW IT, y base imponible ICIO 35,6 M EUR), que se acerca a los 10,2 M EUR/MW del coste unitario de referencia. Los demas euros son prensa. 4) MW: no sumar. Meta no declara MW (240 MVA de demanda maxima); Guadalajara y Puertollano declaran electrica e IT; Malpica y Vianos declaran solo IT (300 MW) con generacion propia a gas y sin conexion a la red, lo que los deja fuera del listado de Red Electrica; Fortinet 7 MW sin base. 5) El BOE no tiene ningun anuncio nominativo de centro de datos en CLM; la conexion de Meta se resuelve a 220 kV (competencia estatal por ser red de transporte, pero el anuncio no nombra al consumidor). 6) Vias muertas: buscador del DOCM (HTTP 500), buscador de castillalamancha.es (no indexa notas relevantes), guadalajara.es (caido), iberdrola.com y globenewswire (bloqueados), WebSearch agotado a mitad de sesion. 7) Dos entradas del DOCM (NID 2024/10065 y 2025/210) llevan por error el titulo 'aprueba definitivamente el PSI Meta Data Center Campus' pero su contenido es la ampliacion de plazo del PSI CIRN de Albacete: no usarlas. 8) Pendientes: descargar los anexos del EsIA de Axis East desde la sede de Torija (requiere navegador), localizar la autorizacion de la SE Calera y Chozas 220 kV, seguir los expedientes Nevia S478/2026/DG/00170, 00171 y 00113 hasta su anuncio de informacion publica en el DOCM, y comprobar en el listado de Red Electrica las solicitudes de acceso en los nudos Calera y Chozas 220 kV y Guadalajara 132 kV."
Castilla-La Mancha,Ayuntamiento de Torija (torija.com y sede electronica torija.sedelectronica.es),https://torija.sedelectronica.es/transparency/0b45106a-bcc9-46f4-96c0-82f608bde36e/,WebFetch de la nota de 2022; curl del portal de transparencia (listado de anexos del EsIA 'B2B Axis East SLU'); los documentos se sirven con sesion Wicket y no se pudieron descargar,Box2Bit; Axis East,1 nota municipal (03-11-2022) y 1 expediente de EIA con 10+ anexos (documentos creados el 28-02-2025),1,"1) Cobertura: 24 filas (17 OFICIAL, 3 OFICIAL-PRENSA, 4 OFICIAL-NP, 2 PRENSA) que documentan 11 proyectos; 7 de ellos tienen expediente oficial. Meta (Talavera) queda completamente reconstruido contra el DOCM con 11 tramites entre marzo de 2022 y agosto de 2026 (DIR, aprobacion inicial, IAE, DIA, vias pecuarias, aprobacion definitiva, NNUU en BOP, reparcelacion, expropiacion de las conexiones electricas) mas la linea de Red Electrica en la SE Calera y Chozas 220 kV que es su nudo. CM-01 se corrige (promotor Zarza Networks, S.L., CIF B16752750; fechas) y CM-02 se fecha (25-02-2026) y se enlaza con su expediente ambiental. 2) Hallazgo metodologico: el portal ambiental Nevia (nevia.castillalamancha.es) es la mejor fuente de la comunidad: expedientes estructurados con promotor, municipio, fase y los documentos del proyecto; ahi aparecen cuatro proyectos de 2025-2026 que aun no estan en el DOCM (Solaria Puertollano 40 MW/30 MW IT; Malpica 300 MW IT en Mora; Vianos 300 MW IT en Albacete, sin rastro alguno en prensa; y el primer expediente de Guadalajara Data Center). Conviene anadirlo a la seccion 11 de CLAUDE.md. 3) Euros: unico caso con presupuesto de proyecto en documento oficial es Guadalajara Data Center (presupuesto de ejecucion por contrata 223,18 M EUR para 40 MW / 26,3 MW IT, es decir unos 8,5 M EUR por MW IT, y base imponible ICIO 35,6 M EUR), que se acerca a los 10,2 M EUR/MW del coste unitario de referencia. Los demas euros son prensa. 4) MW: no sumar. Meta no declara MW (240 MVA de demanda maxima); Guadalajara y Puertollano declaran electrica e IT; Malpica y Vianos declaran solo IT (300 MW) con generacion propia a gas y sin conexion a la red, lo que los deja fuera del listado de Red Electrica; Fortinet 7 MW sin base. 5) El BOE no tiene ningun anuncio nominativo de centro de datos en CLM; la conexion de Meta se resuelve a 220 kV (competencia estatal por ser red de transporte, pero el anuncio no nombra al consumidor). 6) Vias muertas: buscador del DOCM (HTTP 500), buscador de castillalamancha.es (no indexa notas relevantes), guadalajara.es (caido), iberdrola.com y globenewswire (bloqueados), WebSearch agotado a mitad de sesion. 7) Dos entradas del DOCM (NID 2024/10065 y 2025/210) llevan por error el titulo 'aprueba definitivamente el PSI Meta Data Center Campus' pero su contenido es la ampliacion de plazo del PSI CIRN de Albacete: no usarlas. 8) Pendientes: descargar los anexos del EsIA de Axis East desde la sede de Torija (requiere navegador), localizar la autorizacion de la SE Calera y Chozas 220 kV, seguir los expedientes Nevia S478/2026/DG/00170, 00171 y 00113 hasta su anuncio de informacion publica en el DOCM, y comprobar en el listado de Red Electrica las solicitudes de acceso en los nudos Calera y Chozas 220 kV y Guadalajara 132 kV."
Castilla-La Mancha,"BOE - buscador de boletines (boe.php) por titulos, 2019-01-01 a 2026-09-02",https://www.boe.es/buscar/boe.php,GET con campo TITULOS y rango de fechas; 18 consultas; resultados en datos/crudos/boletines/CM/boe/,centro de datos; centros de datos; centro de proceso de datos; centro de procesamiento de datos (singular y plural); data center; CPD; subestacion remota; Zarza Networks; Meta Data Center; Calera y Chozas; subestacion Calera; Guadalajara Data Center; DC Estate; Zarza; Talavera subestacion/220 kV; Puertollano subestacion/220 kV; Torija; Mora 400 kV; Vianos; Illescas subestacion; Numancia de la Sagra; Guadalajara 132 kV,"343 titulos con los terminos genericos, ninguno en provincias de Castilla-La Mancha; por nudo: 4 documentos de Red Electrica sobre las lineas E/S en la SE Calera y Chozas 220 kV (descargados), ninguno nominativo de centro de datos",1,Sin conexiones a 400 kV de centros de datos publicadas en el BOE para CLM. Las nuevas subestaciones de REE La Sagra 400 kV (Numancia de la Sagra) y Camarena 400 kV se publican como refuerzo de red sin mencion a centros de datos.
Castilla-La Mancha,BOE - textos de anuncios y resoluciones (txt.php y pdf),https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-9171,"curl de BOE-A-2026-9171, BOE-B-2025-25967, BOE-A-2025-6277, BOE-B-2023-7005, BOE-B-2026-10001, BOE-A-2020-6074, BOE-B-2021-52743",Calera y Chozas; Talavera; Camarena,"7 documentos leidos, 4 guardados en pdf",1,"Presupuestos: 367.085 EUR (E/S Almaraz-Ebora, 2024-2026) y 466.292 EUR (E/S Almaraz-Talavera, 2022-2025)."
Castilla-La Mancha,Buscador general del portal castillalamancha.es (notas de prensa),https://www.castillalamancha.es/buscador/general?search_api_fulltext=centro%20de%20datos,GET con search_api_fulltext para 8 consultas,centro de datos; Fortinet; Nostrum; Solaria Puertollano; Malpica EdgeMode; Meta Talavera; Box2Bit; Vianos,"233 resultados para 'centro de datos', todos irrelevantes (centros de salud, proteccion de datos, organigramas); Fortinet 1 y Nostrum 3 irrelevantes; Meta Talavera devuelve la ficha del PSI",1,El buscador institucional no indexa bien las notas de prensa; solo se recuperaron las notas de 03-02-2023 (centros de datos) y 03-09-2024 (Puertollano) por URL conocida.
Castilla-La Mancha,"DOCM - buscador de disposiciones (basico y avanzado, buscarDisposiciones.do)",https://docm.jccm.es/docm/busquedaAvanzada.do,"POST reproducido con curl (campos texto, tipoBusqueda, soloSumario, fechas) con y sin cookie de sesion",centro de datos,0 (HTTP 500 Internal Server Error en todas las variantes),0,El motor de busqueda del DOCM no responde a clientes automaticos; se sustituyo por el rastreo de sumarios diarios.
Castilla-La Mancha,"DOCM - rastreo exhaustivo de los sumarios diarios (cambiarBoletin.do?fecha=AAAAMMDD), pasada 1",https://docm.jccm.es/docm/cambiarBoletin.do?fecha=20260902,Descarga de los sumarios de todos los dias laborables entre 2019-01-01 y 2026-09-02 (unos 2.000 boletines) y filtro por expresiones regulares sobre los titulos de todas las disposiciones; sumarios con hits guardados en datos/crudos/boletines/CM/sumarios/ y resultados en docm_crawl_hits.csv,centro(s) de datos; centro de proceso de datos; centro de procesamiento de datos; data center/centre; CPD; subestacion remota; Zarza Networks; Nostrum; Box2Bit; Fortinet; Datasection; EdgeMode; Echelon; Malpica; hiperescala; campus digital; centro de calculo; supercomputacion; cloud,"95 titulos coincidentes, de ellos 13 relevantes: 11 del PSI Meta (2022-2026), 1 de Torija Axis East (2025/1989) y 1 de Guadalajara Data Center (2026/3045); el resto son contratos del CPD de la Junta, Malpica de Tajo y ruido",1,"Limitacion: solo busca en titulos, no en el texto integro. Dos entradas del DOCM (2024/10065 y 2025/210) llevan por error el titulo del PSI Meta pero se refieren al PSI CIRN de Albacete."
Castilla-La Mancha,"DOCM - rastreo exhaustivo de los sumarios diarios, pasada 2 (promotores y municipios)",https://docm.jccm.es/docm/,Misma tecnica; resultados en datos/crudos/boletines/CM/sumarios/docm_crawl2_hits.csv,Solaria; Global Villacreces; Standard Electrica; Capital Energy; interes regional; singular interes; inteligencia artificial; supercomput; servidores; Iberdrola Inmobiliaria; digital infra; proceso/procesamiento de datos; Recas; Torija; Mora (Toledo); Puertollano+datos; linea 220 kV Talavera/Calera; Guadalajara+data; nodo/hub digital; campus tecnologico,"212 titulos, sin ningun expediente adicional de centros de datos (todas las DIR/PSI 2019-2026 revisadas: Meta es el unico PSI de centro de datos; el resto son Puy du Fou, Hydnum Steel, CIRN, Nokian, Toroverde, parques logisticos)",1,"Confirma que Solaria Puertollano, Malpica, Vianos, Fortinet e Iberdrola Toledo no tienen anuncio en el DOCM a 02-09-2026."
Castilla-La Mancha,Data Center Map - indice local datos/intermedios/dcm_indice.csv,,Lectura del csv,"toledo, guadalajara, ciudad real, albacete, cuenca, talavera, illescas, mancha",0: el indice local solo contiene los mercados madrid (81) y zaragoza (22); las 10 fichas de CLM citadas en el encargo no estan capturadas,1,"Por resultados de buscador: Toledo 2 fichas visibles (Box2bit AXIS South en Recas; EdgeMode DC Malpica en Mora), Ciudad Real 1 (Solaria AI Data Center 200 MW), Albacete 1 (Area Project). No se accedio a datacentermap.com por instruccion."
Castilla-La Mancha,Indices archivados del DOCM (sumarios y listados),,"lectura de las paginas de resultados y sumarios ya guardadas en datos/crudos, sin salir a la red","""centro de datos""; ""centros de datos""; ""centro de proceso de datos""; ""centro de procesamiento de datos""; ""centre de dades""; ""data center""; ""data centre""; CPD; hiperescala",12881 anuncios catalogados; 16 nombran un centro de datos; 2 sin documento archivado,1,"El indice dice lo que se publico, no solo lo que se bajo. Un titulo no es un expediente: lo que falte hay que abrirlo antes de escribir ninguna fila."
Castilla-La Mancha,Nevia - Informacion de los expedientes de evaluacion ambiental de Castilla-La Mancha,https://nevia.castillalamancha.es/forms/nevif101.php,"POST a nevif103.php con nombrePost/promotorPost (16 terminos de nombre y 16 de promotor); fichas de detalle via nevif104.php (numeroExpedientePost); documentos via nevif108.php (cexpedie, ctipexpe, dtipodoc, drutadoc). Resultados en nevia/nevia_resultados.csv","datos; data; center; centre; CPD; proceso; procesamiento; servidores; Meta; hiperescala; campus; nube; cloud; subestacion remota; inteligencia artificial; supercomput; promotores Zarza, Nostrum, Guadalajara Data, Box2bit, Capital Energy, Echelon, Iberdrola, EdgeMode, Fortinet, Global Villacreces, Solaria, Datasection, Meta, Digital, Data","663 filas, 7 expedientes de centros de datos: PRO-SC-22-1030 y PLA-SC-23-0512 (Meta), S478/2025/DG/00067 y S478/2026/DG/00114 (Guadalajara Data Center), S478/2026/DG/00170 (Solaria Puertollano), S478/2026/DG/00171 (Malpica, Mora), S478/2026/DG/00113 (Vianos)",1,"Es la fuente mas rentable de la comunidad: da promotor, municipio, tipo de evaluacion, fase, fechas de consulta y los documentos del proyecto (memorias con MW, superficies y presupuestos). Conviene incorporarla a CLAUDE.md."
Castilla-La Mancha,Notas de prensa de la JCCM (castillalamancha.es/actualidad/notasdeprensa),https://www.castillalamancha.es/actualidad/notasdeprensa/garc%C3%ADa-page-avanza-la-llegada-de-un-nuevo-centro-de-procesamiento-de-datos-puertollano-con-una,WebFetch y curl (guardadas en prensa/),centros de datos 03-02-2023; Puertollano 03-09-2024,2 notas,1,"La nota de 2023 cita Box2Bit (Asix en Recas y Torija), Grupo Aire (Talavera) y el interes de Meta; la de 2024 anuncia el CPD de Puertollano sin cifras."
Castilla-La Mancha,Portal de urbanismo de la JCCM - ficha del PSI Meta Data Center Campus e indice de PSI,https://urbanismo.castillalamancha.es/planeamiento/planeamiento-territorial/proyectos-de-singular-interes/meta-data-center-campus,curl + extraccion de enlaces (hrefs sin comillas),indice de Proyectos de Singular Interes,"12 PSI listados, 1 de centro de datos; 35 documentos del expediente Meta (DOCM, BOP, CROTU, Consejo Consultivo, documentacion tecnica, seguimiento ambiental)",1,"Descargados los anuncios DOCM, el BOP de NNUU, el certificado CROTU y el dictamen del Consejo Consultivo."
Castilla-La Mancha,"Prensa sectorial y regional (DCD, elDiario.es, El Espanol CLM, idealista, infoCLM, El Debate, La Cerca, EjePrime)",https://www.datacenterdynamics.com/es/,curl con cabecera de navegador (WebFetch devuelve 403 en DCD e infoCLM); paginas guardadas en datos/crudos/boletines/CM/prensa/,Fortinet Torija; Solaria Puertollano; EdgeMode Malpica; Meta reparcelacion; Iberdrola Toledo; Nostrum GUA1,9 articulos guardados,1,iberdrola.com (403 Akamai) y globenewswire.com (timeout) no accesibles; airetech.es devolvio contenido comprimido ilegible.
Castilla-La Mancha,WebSearch (Google-like) con y sin filtros site:,,"20 consultas: site:docm.jccm.es y site:boe.es con los terminos, mas consultas de prensa por provincia y promotor",centro de datos; centro de proceso/procesamiento de datos; data center; Meta Talavera; Nostrum Guadalajara; Box2Bit Recas Torija; Illescas/Sesena/La Sagra; Ciudad Real/Puertollano/Albacete/Cuenca; Malpica Mora; Iberdrola Echelon Aceca; Solaria Datasection; Fortinet Torija; Grupo Aire Talavera; site:datacentermap.com,Los filtros site:docm.jccm.es no devolvieron ningun documento del DOCM; las consultas de prensa identificaron 10 proyectos,1,La cuota de WebSearch de la sesion (200) se agoto a mitad del trabajo; el resto se hizo con curl y WebFetch.
Comunitat Valenciana,Ayuntamiento de Valencia - actualidad (https://www.valencia.es/cas/actualidad/),,curl con cabeceras de navegador (el WAF rechaza el user-agent simple con 503 'Request Rejected'),centro de datos Vara de Quart,"1 nota (28-02-2025, licencia NxN)",1,No se publica el expediente ni el presupuesto de la licencia.
Comunitat Valenciana,"BOE - buscador https://www.boe.es/buscar/boe.php (campo TITULOS, secciones I-V, fechas FPU 2019-01-01 a 2026-09-02, 200 resultados/pagina, partido por rangos de fechas)",,"curl GET con los nombres de campo reales del formulario (campo[0]=ORIS, campo[1]=TITULOS, campo[2]=DEM, campo[6]=FPU); filtrado de titulos por localizadores valencianos","centro de datos (258), centros de datos (94), centro de proceso de datos (124), centro de procesamiento de datos (21), CPD (147), data center (10), Valencia Digital Port Connect (0), Port Conect (1), Digital Port (1), Barracuda (0), Valfortec (0), Digital Valley (0), cable submarino (10), estacion de aterrizaje (0), Sagunto (200+), Sagunt (200+), Picassent (200+), Monforte del Cid (76), datos + DEM Subdelegacion del Gobierno en Valencia/Alicante/Castellon (0), Autoridad Portuaria de Valencia 2025-26 (92)","457 titulos unicos con terminos de CPD 2019-2026: ninguno en Valencia, Alicante o Castellon (el unico anuncio electrico de acometida de CPD es el de Zaragoza, BOE-B-2026-24883). Hallados por titular/municipio: BOE-B-2026-1214 (Costas, VDPC) y BOE-B-2026-10170 (APV, VDPC)",1,El API de datos abiertos (https://www.boe.es/datosabiertos/api/boe/sumario/AAAAMMDD) responde JSON y podria usarse para un barrido diario completo; no fue necesario. WebSearch site:boe.es tampoco localizo CPD en la Comunitat.
Comunitat Valenciana,"DOGV - buscador de texto completo (API del portal: POST https://dogv.gva.es/dogv-portal/dogv/search?lang=es&page=N&size=50&sort=fechaPublicacion,desc; cuerpo JSON {texto, soloTitulo, fechaInicioPublicacion dd-MM-yyyy, fechaFinPublicacion, isPortalLegislativo})",,curl POST reproduciendo el frontend Angular (endpoint descubierto en main.js); ventana 01-01-2019 a 02-09-2026; volcado de 741 resultados unicos en datos/crudos/boletines/VC/DOGV_busqueda_texto_2019-2026_resultados.csv,"""centro de datos"" (38), ""centros de datos"" (17), ""centre de dades"" (0), ""centres de dades"" (0), ""centro de proceso de datos"" (28), ""centro de procesamiento de datos"" (10), ""centre de proces de dades"" (0), ""centre de processament de dades"" (0), ""data center"" (9), ""data centers"" (1), ""CPD"" (594), ""subestacion remota"" (0), ""subestacio remota"" (0), Valfortec (6), ""El Lobo"" (53), ""Digital Valley"" (0), NxN (0), ""Valencia Digital Port"" (0), Walhalla (0), Nixval (0), ""Las Norias"" Monforte (7), ""proyecto de interes autonomico"" (12), ""interes autonomico"" (16), ""Monforte del Cid"" 2025-26 (77), ""Vara de Quart"" (1), Nethits (0), Adequita (0), ""cable submarino"" (0), ""estacion de aterrizaje"" (0), combinaciones con ""interes comunitario"", ""licencia ambiental"", ""instalacion electrica"", subestacion, ""impacto ambiental"", servidores","741 unicos; un unico expediente de CPD privado: anuncio 2026/21901 (PIA El Lobo). El resto son temarios de oposiciones, ayudas, universidades y CPD de la propia Generalitat",1,El motor no discrimina frases exactas en los temarios de oposiciones (mucho ruido con CPD). La web publica del buscador es una SPA; WebSearch con site:dogv.gva.es devolvio solo PDFs irrelevantes.
Comunitat Valenciana,DOGV via WebSearch (site:dogv.gva.es),,WebSearch,"""centro de datos""; ""centre de dades""; ""centro de proceso de datos"" OR ""centro de procesamiento de datos"" OR ""data center""; ""centro de datos"" informacion publica instalacion electrica subestacion","8 PDFs del DOGV descargados y comprobados con pdftotext: ninguno menciona centros de datos (educacion, subvenciones, empleo publico)",1,Sin utilidad frente al API del portal.
Comunitat Valenciana,"Datacenterdynamics.com (es/en), eleconomista.es, datacentermap.com",,WebFetch,Valfortec Alicante; Digital Valley; VDPC; proyectos 2026,"403 (DCD, eleconomista); 429 (datacentermap, una peticion inadvertida a la ficha VDPC, no repetida)",0,"Los datos de DCD se tomaron de los resumenes de WebSearch (Valfortec: 300 M EUR; 'campus de 60 MW cerca del aeropuerto Alicante-Elche', cifra que contradice el expediente de 30 MW en Monforte del Cid)."
Comunitat Valenciana,"Declaraciones de Interes Comunitario de la Comunitat Valenciana (dataset ICV, WFS https://terramapas.icv.gva.es/0702_Planeamiento typename=DeclaracionInteresComunitario, CSV)",,"descarga CSV (3,7 MB, 2.136 parcelas) y filtrado por uso/descripcion/promotor","centro de datos, centre de dades, data center, CPD, proceso de datos, servidor, hosting, telecomunic, informatic",0,1,Ningun CPD tramitado por DIC en suelo no urbanizable; el unico CPD en tramitacion va por PIA en suelo urbano industrial.
Comunitat Valenciana,Generalitat Valenciana - Energia: informacion publica de instalaciones (https://mediambient.gva.es/es/web/energia/informacion-publica; antes cindi.gva.es),,"curl de las 27 paginas del asset publisher Liferay (delta=20, cur=1..27) y filtrado de titulos","centro de datos, centre de dades, data center, CPD, proceso de datos, servidor; Lobo, Valfortec, Norias, Monforte, Novelda","1.022 titulos (511 anuncios, duplicados es/va); 0 mencionan centros de datos; 0 mencionan El Lobo/Valfortec",1,"Casi todo son fotovoltaicas y lineas de evacuacion. Las conexiones de los CPD valencianos (6-30 MW) van por distribucion (i-DE, 66/20 kV) y no generan anuncio propio."
Comunitat Valenciana,Generalitat Valenciana - Evaluacion ambiental (https://mediambient.gva.es/es/web/evaluacion-ambiental y seguimiento de expedientes EIA 42/2019/AIA y siguientes),,WebFetch y curl; el listado de expedientes es un portlet 'listadodocumentos' sin tabla descargable ni buscador,"centro de datos, centre de dades, CPD",0 menciones en las paginas de navegacion; los expedientes EIA de CPD se localizaron via DOGV (ninguno para CPD; si para la PSF El Lobo asociada),1,Para un barrido sistematico habria que consultar el portlet expediente a expediente.
Comunitat Valenciana,"Generalitat Valenciana - Planificacion territorial: proyectos estrategicos (PIA, PIES, ATE, PTE) - directorios https://mediambient.gva.es/auto/planes-accion-territorial/",,"curl de los indices de directorio (las paginas Liferay cargan un iframe vacio) y descarga de la carpeta 'PIA Monforte del Cid - El Lobo' (5 PDF, 74 MB)",listado completo,"PIA: El Plantio Golf (Alicante), Armonia Green Castellon, PLD Space (Elche), Data Center El Lobo (Monforte del Cid). PIES: Enguera, Oliva, Vall d'Uixo-Xilxes-Moncofa. 1 CPD",1,Digital Valley (Picassent) no figura en ninguna categoria. Pagina 'ATE declaradas' sin contenido util.
Comunitat Valenciana,Generalitat Valenciana - notas de prensa (https://comunica.gva.es/es/cercador?q=),,"curl del buscador Liferay (busqueda difusa, no exacta) y extraccion de titulos","centro de datos (10.206), centre de dades (8.356), data center (5.255), Digital Valley (1.594), Valfortec (3), Monforte del Cid (228), Picassent (304), CPD (7), NxN, cable submarino Sagunto, interes autonomico","Relevantes: nota Digital Valley 28-01-2025 (id 389502749); 3 notas sobre CPD de la propia Generalitat (Hospital Balmis 800.000 EUR, feb-2025; contratos y duplicacion de los CPD corporativos, 2024). Ninguna nota sobre El Lobo, NxN o VDPC",1,El buscador ordena por fecha y no filtra por frase exacta; se revisaron las primeras 20 entradas de cada consulta.
